German,English
ich,I
sie,she
das,the
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,a
in,in
ja,Yes
mir,me
mit,with
wie,How
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,has
hier,here
haben,have
für,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,her
nein,no
habe,have
an,at
bin,am
noch,still
nur,only
da,there
dir,you
sich,itself
einen,a
uns,us
hast,have
dem,dem
kann,can
gut,good
auch,also
schon,already
als,as
sein,be
mal,just
jetzt,now
ihn,him
dann,then
aus,out of
meine,mine
um,around
im,in the
wird,becomes
mein,my
bist,are
doch,but
alles,everything
weiß,white
keine,no
oder,or
nach,after
s,S
nichts,nothing
man,man
muss,must
werden,become
will,want
ihnen,them
geht,goes
wo,where
etwas,something
oh,Oh
mehr,more
bei,at
also,so
bitte,please
immer,always
hab,have
warum,Why
vor,before
los,Come on
können,can
wieder,again
sagen,say
machen,make
danke,Thanks
sehr,very
alle,all
denn,because
mann,man
tun,do
ihm,him
zum,for the
gehen,go
sehen,see
vielleicht,perhaps
einem,a
wer,who
ihre,her
diese,this
euch,you
einer,one
komm,come
über,above
gibt,gives
okay,OK
wissen,knowledge
deine,your
müssen,must
soll,should
werde,become
nie,never
wirklich,really
hey,hey
kein,no
viel,much
weg,away
würde,would
tut,does
am,at the
des,of
einfach,simply
leben,life
hatte,had
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,with it
ganz,quite
wäre,were
wollte,wanted
weißt,white
ok,OK
sicher,secure
gesagt,said
frau,woman
nun,so
bis,until
wurde,became
leid,sorrow
na,n/a
kannst,can
macht,might
dieser,this
zurück,back
lassen,let
hallo,Hello
meinen,mean
gott,God
seine,his
hätte,would have
zwei,two
könnte,could
genau,Exactly
waren,were
zur,to
lass,let
klar,clear
morgen,morning
leute,people
vater,father
schön,nice
glaube,believe
mr.,mr.
ab,away
gerade,straight
tag,Day
gesehen,seen
reden,talk
wohl,probably
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,if
keinen,no
mutter,mother
raus,out
gemacht,made
paar,couple